Category,Question,Value: 1,Value: 2,Value: 3
Deployability,"You just found a bug in production, when will it be fixed in production?",Next week or beyond,Some time this week,Today
Deployability,How often are deployments blocked by an issue with builds or tests,Most weeks,A couple of times a month,Rarely
Deployability,How long is a deployment typically blocked when there's an issue with builds or tests,More than a day,More than an hour but less than a day,Less than an hour
Deployability,"The build just failed, when does it get fixed?",When we prepare the next software version,Once we finish whatever we're working on,We pause everything and fix it straight away
Deployability,"A bug has been found in a pre-production environment that would stop the software version going live, when does it get fixed?",When we prepare the next software version,Once we finish whatever we're working on,We pause everything and fix it straight away
Deployability,"How many teams outside of development need to sign off a production deployment, for example testing is done by an external team or release management is a separate department?",More than two,One or two,None
Deployability,Can developers and testers deploy to a pre-live environment on demand,"No, they need to obtain sigh-off, or raise a ticket, or ask someone else to trigger the deployment","Yes, if they co-ordinate with others to avoid deploying when someone is using an environment","Yes, they can deploy to a pre-live environment on demand without co-ordination or approval"
Feedback,How often does you code get merged into the main branch?,Less often than every day,Each day,Every hour or two
Feedback,How often do other team members merge into the main branch?,Less often than every day,Each day,Every hour or two
Feedback,How long after a code commit do you get the results of the build and tests?,Longer than 20 minutes,Between 5 and 20 minutes,In about 5 minutes or less
Automation,How do changes progress through environments,We deploy manually to all environments,We have automated deployments to pre-production environments but a different process is used to deploy to production,The exact same automated/push-button process deploys to all environments
Automation,If a bug was reported in a specific version of your software,We would have to build and deploy that version of the software to test it,We could manually re-deploy that version from a store of software versions,Our automated push-button process could deploy that version to a test environment
Automation,"How much of your deployment pipeline, from code commit to running in production, depends on a manual stage gate? For example, manual testing, security, packaging, moving files around, configuration, etc.",The deployment pipeline is mostly manual,The deployment pipeline has some automation and some manual stages,We aggressively automate all stages of the deployment pipeline unless we can find no economic way to do it
Automation,"Do you have any stages that happen outside of the deployment pipeline, for example security tests running quarterly rather than for every release?","Many stages are out of band, such as security testing, capacity testing, or vulnerability scanning.",Most stages are done as part of the deployment pipeline,All checks happen as part of the deployment pipeline
Automation,Build artifacts,The build step creates a new package each time the software is promoted to the next environment,,The package is built once and the same package is used each time the software is promoted to the next environment
Automation,Deployment process,"The deployment process might be updated between environments, for example if we find a step was missing or a config value had changed",,"The deployment process is versioned alongside the package to keep it the same on all environments, changes would mean starting from the first environment again"
Agility,After you deploy to an environment,We depend on testers to check it's working,,An automated test or script checks the application is running and its dependencies are available
Agility,Environment similarity,Our pre-production environments have significant differences to the production environment,"Our pre-production environments are mostly the same as production, with non-critical differences, like not needing the application firewall or load-balancers we use in production",Our pre-productions are very similar to the production environment
Agility,Infrastructure changes,All changes are manual and we're not certain environments are kept in sync when changes are made,All changes are manual but we progress changes through our environments like we do code changes to keep them in sync and test our changes,"Our environments use version-controlled configuration that keeps them identical, though we may use smaller instances for pre-production"
Agility,New features,New features appear when we deploy,We use coding techniques that keep new features hidden until they're ready (like keystoning),We use feature flags to control visibility of new features
Agility,New features,All users get a new feature at the same time,"Users on a specific instance get new features before our general users (for example, a beta instance)",We can expose a new feature to specific users or groups of users
Agility,How can you check what version of each component is deployed to each environment?,"We track this manually, for example on a whiteboard or wiki page",This is tracked automatically and we can find a version by looking up that component's deployment information,This is tracked automatically and we can see this information for a set of related components all on a single dashboard
Agility,How do you know a deployment is taking place?,"We signal this manually, for example in our internal chat tools or by email",This is tracked automatically and we can see running deployments by looking up that component's deployment information,This is tracked automatically and we can see running deployments for a set of related components all on a single dashboard
